latitude,longitude,altitude,geometry,No.,Name,Floor,X,Y,Z
-33.91716218194662,150.9297322612028,24.12,Point,42,R0406,F 2,308613.562,6245097.57,24.12
-33.917164654173504,150.92960689358847,18.12,Point,43,R0406,GF,308601.976,6245097.062,18.12
-33.917164654173504,150.92960689358847,21.12,Point,43,R0406,F 1,308601.976,6245097.062,21.12
-33.917164654173504,150.92960689358847,24.12,Point,43,R0406,F 2,308601.976,6245097.062,24.12
-33.917194347613254,150.92945630538847,18.12,Point,44,R0406,GF,308588.119,6245093.488,18.12
-33.917194347613254,150.92945630538847,21.12,Point,44,R0406,F 1,308588.119,6245093.488,21.12
-33.917194347613254,150.92945630538847,24.12,Point,44,R0406,F 2,308588.119,6245093.488,24.12
-33.91725339680867,150.92963633831542,18.12,Point,45,R0406,GF,308604.897,6245087.275,18.12
-33.91725339680867,150.92963633831542,21.12,Point,45,R0406,F 1,308604.897,6245087.275,21.12
-33.91725339680867,150.92963633831542,24.12,Point,45,R0406,F 2,308604.897,6245087.275,24.12
-33.917171257399474,150.92983440986674,18.12,Point,46,R0406,GF,308623.027,6245096.754,18.12
-33.917171257399474,150.92983440986674,21.12,Point,46,R0406,F 1,308623.027,6245096.754,21.12
-33.917171257399474,150.92983440986674,24.12,Point,46,R0406,F 2,308623.027,6245096.754,24.12
-33.917065725743264,150.9297690529066,18.12,Point,47,R0406,GF,308616.748,6245108.336,18.12
-33.917065725743264,150.9297690529066,21.12,Point,47,R0406,F 1,308616.748,6245108.336,21.12
-33.917065725743264,150.9297690529066,24.12,Point,47,R0406,F 2,308616.748,6245108.336,24.12
-33.913535566008605,150.92954390221615,17.28,Point,48,R0425,GF,308588.033,6245499.425,17.28
-33.913535566008605,150.92954390221615,20.28,Point,48,R0425,F 1,308588.033,6245499.425,20.28
-33.91358635796514,150.92962273679603,17.28,Point,49,R0425,GF,308595.436,6245493.939,17.28
-33.91358635796514,150.92962273679603,20.28,Point,49,R0425,F 1,308595.436,6245493.939,20.28
-33.91353325106187,150.92970275472024,17.28,Point,50,R0425,GF,308602.716,6245499.978,17.28
-33.91353325106187,150.92970275472024,20.28,Point,50,R0425,F 1,308602.716,6245499.978,20.28
-33.913482179748904,150.92962392689694,17.28,Point,51,R0425,GF,308595.313,6245505.495,17.28
-33.913482179748904,150.92962392689694,20.28,Point,51,R0425,F 1,308595.313,6245505.495,20.28
-33.916761205242665,150.92965776472715,18.47,Point,52,R0431,GF,308605.777,6245141.901,18.47
-33.916761205242665,150.92965776472715,21.47,Point,52,R0431,F 1,308605.777,6245141.901,21.47
-33.916761205242665,150.92965776472715,24.47,Point,52,R0431,F 2,308605.777,6245141.901,24.47
-33.916761205242665,150.92965776472715,27.47,Point,52,R0431,F 3,308605.777,6245141.901,27.47
-33.916871594350056,150.92957712552797,18.47,Point,53,R0431,GF,308598.568,6245129.508,18.47
-33.916871594350056,150.92957712552797,21.47,Point,53,R0431,F 1,308598.568,6245129.508,21.47
-33.916871594350056,150.92957712552797,24.47,Point,53,R0431,F 2,308598.568,6245129.508,24.47
-33.916871594350056,150.92957712552797,27.47,Point,53,R0431,F 3,308598.568,6245129.508,27.47
-33.917009839434314,150.92972990124028,18.47,Point,54,R0431,GF,308613.003,6245114.461,18.47
-33.917009839434314,150.92972990124028,21.47,Point,54,R0431,F 1,308613.003,6245114.461,21.47
-33.917009839434314,150.92972990124028,24.47,Point,54,R0431,F 2,308613.003,6245114.461,24.47
-33.917009839434314,150.92972990124028,27.47,Point,54,R0431,F 3,308613.003,6245114.461,27.47
